HMDB0000043,Betaine aldehyde + NAD + Water = Betaine + NADH + Hydrogen Ion£¬Betaine + Homocysteine = Dimethylglycine + L-Methionine
HMDB0000094,ADP + Phosphate + Acetyl-CoA + Oxalacetic acid = Adenosine triphosphate + Citric acid + Coenzyme A
HMDB0000123,Succinyl-CoA + Glycine = 5-Aminolevulinic acid + Coenzyme A + Carbon dioxide
HMDB0000714,Benzoyl-CoA + Glycine = Coenzyme A + Hippuric acid
HMDB0000177,L-Histidine = Histamine + Carbon dioxide
HMDB0000159,Adenosine triphosphate + L-Phenylalanine + tRNA(Phe) = Adenosine monophosphate + Pyrophosphate + L-phenylalanyl-tRNA(Phe)
HMDB0000020,4-Hydroxyphenylacetaldehyde + NAD + Water = p-Hydroxyphenylacetic acid + NADH + Hydrogen Ion
HMDB0000118,Homovanillin + NAD + Water = Homovanillic acid + NADH + Hydrogen Ion
HMDB0000159,Adenosine triphosphate + L-Phenylalanine + tRNA(Phe) = Adenosine monophosphate + Pyrophosphate + L-phenylalanyl-tRNA(Phe)
HMDB0000205,L-Phenylalanine + Oxoglutaric acid = Phenylpyruvic acid + L-Glutamic acid
HMDB0000291,3-Methoxy-4-hydroxyphenylglycolaldehyde + NAD + Water = Vanillylmandelic acid + NADH + Hydrogen Ion
HMDB0000669,Phenylpyruvic acid + Oxygen = ortho-Hydroxyphenylacetic acid + Carbon dioxide
HMDB0000707,L-Tyrosine + Oxoglutaric acid = 4-Hydroxyphenylpyruvic acid + L-Glutamic acid
HMDB0000755,Hydroxyphenyllactic acid = 3-(4-hydroxyphenyl)-2-(sulfooxy)propanoic acid
HMDB0000779,Phenyllactic acid = 3-phenyl-2-(sulfooxy)propanoic acid
HMDB0000078,Cysteinylglycine + Water = L-Cysteine + Glycine
HMDB0000209,Phenylacetaldehyde + NAD + Water = Phenylacetic acid + NADH + Hydrogen Ion
HMDB0000159,Adenosine triphosphate + L-Phenylalanine + tRNA(Phe) = Adenosine monophosphate + Pyrophosphate + L-phenylalanyl-tRNA(Phe)
HMDB0000883,L-Valine + Oxoglutaric acid = alpha-Ketoisovaleric acid + L-Glutamic acid
HMDB0000374,"17alpha,20alpha-Dihydroxypregn-4-en-3-one + NAD(P)(+) = 17-Hydroxyprogesterone + NAD(P)H"
HMDB0000687,L-Leucine + Oxoglutaric acid = Ketoleucine + L-Glutamic acid
HMDB0000205,Phenylpyruvic acid = Enol-phenylpyruvate
HMDB0000205,Phenylpyruvic acid = Enol-phenylpyruvate
HMDB0000779,Phenyllactic acid = 3-phenyl-2-(sulfooxy)propanoic acid
HMDB0000440,"3-Hydroxyphenylacetic acid = 6-[3-(carboxymethyl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"
HMDB0000669,Phenylpyruvic acid + Oxygen = ortho-Hydroxyphenylacetic acid + Carbon dioxide
HMDB0000755,Hydroxyphenyllactic acid = 3-(4-hydroxyphenyl)-2-(sulfooxy)propanoic acid
HMDB0000707,4-Hydroxyphenylpyruvic acid = 2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid
HMDB0000209,Phenylacetaldehyde + NAD + Water = Phenylacetic acid + NADH + Hydrogen Ion
HMDB0000779,Phenyllactic acid = 3-phenyl-2-(sulfooxy)propanoic acid
HMDB0000042,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA = 7-Methyl-3-oxo-6-octenoyl-CoA + Acetic acid
